0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/review/review_moviedetail.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:23 +0900] "GET /SemiProject/review/review_moviedetail.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:23 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:24 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:24 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:24 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:24 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:26 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:26 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:26 +0900] "GET /SemiProject/review/review_moviedetail.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:26 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:26 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:28 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:28 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:28 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 22103
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:29 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:30 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:30 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:30 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:35 +0900] "GET /SemiProject/review/review_moviedetail.jsp?23 HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:35 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:53 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:53 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:57 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:57 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:57 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:57 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
